105	GFN|항공코드	그래프턴 공항					그래프턴 
106	GFF|항공코드	그리피스 공항					그리피스 
107	GUH|항공코드	구네다 공항					구네다 
108	HCQ|항공코드	홀스크릭 공항					홀스크릭 
109	HLT|항공코드	해밀턴 공항					해밀턴 
110	HTI|항공코드	헤밀튼아일랜드 공항					헤밀튼아일랜드 
111	HXX|항공코드	헤이 공항					헤이 
112	HVB|항공코드	허비베이 공항					허비베이 
113	NOA|항공코드	알바트로스 HMAS					알바트로스 HMAS
114	HBA|항공코드	호바트 국제공항					호바트 
115	HTU|항공코드	호프턴 공항					호프턴 
116	HID|항공코드	혼아일랜드 공항					혼아일랜드 
117	HSM|항공코드	호르샴 공항					호르샴 
118	IVR|항공코드	인버렐 공항					인버렐 
119	JAD|항공코드	잔다콧 공항					잔다콧 
120	KGI|항공코드	캘굴리 볼더 공항					캘굴리 볼더 
121	KFG|항공코드	칼카링기 공항					칼카링기 
122	KTA|항공코드	카라타 공항					카라타 
123	KRB|항공코드	카룸바 공항					카룸바 
124	KPS|항공코드	켐지 공항					켐지 
125	KRA|항공코드	케랑 공항					케랑 
126	KNS|항공코드	킹아일랜드 공항					킹아일랜드 
127	KGY|항공코드	킨가로이 공항					킨가로이 
128	KGC|항공코드	킹스코트 공항					킹스코트 
129	SYD|항공코드	킹스포트 스미스 공항 	시드니				킹스포트 스미스 
130	KWM|항공코드	코와야마 공항					코와야마 
131	KNX|항공코드	쿤누누라 공항					쿤누누라 
132	LTB|항공코드	라트로브 벨리 공항					라트로브 벨리 
133	LST|항공코드	론서스턴 공항					론서스턴 
134	LTO|항공코드	라버튼 공항					라버튼 
135	LEA|항공코드	리어먼스 공항					리어먼스 
136	LGH|항공코드	라이크릭 공항					라이크릭 
137	LER|항공코드	라인스터 공항					라인스터 
138	LNO|항공코드	레오노라 공항					레오노라 
139	LHG|항공코드	라이트닝릿지 공항					라이트닝릿지 
140	LSY|항공코드	리스모어 공항					리스모어 
141	IRG|항공코드	락하트리버스 공항					락하트리버스 
142	LRE|항공코드	롱리치 공항					롱리치 
143	LDH|항공코드	로드호바아일랜드 공항					로드호바아일랜드 
144	MKY|항공코드	매카이 공항					매카이 
145	XMC|항공코드	말라쿠타 공항					말라쿠타 
146	MNG|항공코드	마닝그리다 공항					마닝그리다 
147	MRG|항공코드	마리바 공항					마리바 
148	MCY|항공코드	마로카이도어 공항					마로카이도어 
149	MBH|항공코드	메리보로 공항					메리보로 
150	MKR|항공코드	미카다라 공항					미카다라 
