HXX|항공코드,헤이 공항,헤이 ,,,
HVB|항공코드,허비베이 공항,허비베이 ,,,
NOA|항공코드,알바트로스 HMAS,알바트로스 HMAS,,,
HBA|항공코드,호바트 국제공항,호바트 ,,,
HTU|항공코드,호프턴 공항,호프턴 ,,,
HID|항공코드,혼아일랜드 공항,혼아일랜드 ,,,
HSM|항공코드,호르샴 공항,호르샴 ,,,
IVR|항공코드,인버렐 공항,인버렐 ,,,
JAD|항공코드,잔다콧 공항,잔다콧 ,,,
KGI|항공코드,캘굴리 볼더 공항,캘굴리 볼더 ,,,
KFG|항공코드,칼카링기 공항,칼카링기 ,,,
KTA|항공코드,카라타 공항,카라타 ,,,
KRB|항공코드,카룸바 공항,카룸바 ,,,
KPS|항공코드,켐지 공항,켐지 ,,,
KRA|항공코드,케랑 공항,케랑 ,,,
KNS|항공코드,킹아일랜드 공항,킹아일랜드 ,,,
KGY|항공코드,킨가로이 공항,킨가로이 ,,,
KGC|항공코드,킹스코트 공항,킹스코트 ,,,
SYD|항공코드,킹스포트 스미스 공항 ,킹스포트 스미스 ,시드니,,
KWM|항공코드,코와야마 공항,코와야마 ,,,
KNX|항공코드,쿤누누라 공항,쿤누누라 ,,,
LTB|항공코드,라트로브 벨리 공항,라트로브 벨리 ,,,
LST|항공코드,론서스턴 공항,론서스턴 ,,,
LTO|항공코드,라버튼 공항,라버튼 ,,,
LEA|항공코드,리어먼스 공항,리어먼스 ,,,
LGH|항공코드,라이크릭 공항,라이크릭 ,,,
LER|항공코드,라인스터 공항,라인스터 ,,,
LNO|항공코드,레오노라 공항,레오노라 ,,,
LHG|항공코드,라이트닝릿지 공항,라이트닝릿지 ,,,
LSY|항공코드,리스모어 공항,리스모어 ,,,
IRG|항공코드,락하트리버스 공항,락하트리버스 ,,,
LRE|항공코드,롱리치 공항,롱리치 ,,,
LDH|항공코드,로드호바아일랜드 공항,로드호바아일랜드 ,,,
MKY|항공코드,매카이 공항,매카이 ,,,
XMC|항공코드,말라쿠타 공항,말라쿠타 ,,,
MNG|항공코드,마닝그리다 공항,마닝그리다 ,,,
MRG|항공코드,마리바 공항,마리바 ,,,
MCY|항공코드,마로카이도어 공항,마로카이도어 ,,,
MBH|항공코드,메리보로 공항,메리보로 ,,,
MKR|항공코드,미카다라 공항,미카다라 ,,,
MIM|항공코드,메림불라 공항,메림불라 ,,,
MQL|항공코드,밀두라 공항,밀두라 ,,,
MBW|항공코드,무라빈 공항,무라빈 ,,,
MOV|항공코드,모란바 공항,모란바 ,,,
MRZ|항공코드,모리 공항,모리 ,,,
MYA|항공코드,모루야 공항,모루야 ,,,
MGB|항공코드,마운트겜비어 공항,마운트겜비어 ,,,
MHU|항공코드,마운트 핫탬 공항,마운트 핫탬 ,,,
ISA|항공코드,마운트이사 공항,마운트이사 ,,,
WME|항공코드,마운트 키스 공항,마운트 키스 ,,,
MMG|항공코드,마운트마그넷 공항,마운트마그넷 ,,,
DGE|항공코드,머지 공항,머지 ,,,
NAA|항공코드,나라브리 공항,나라브리 ,,,
NRA|항공코드,나란데라 공항,나란데라 ,,,
QRM|항공코드,나로민 공항,나로민 ,,,
ZNE|항공코드,뉴먼 공항,뉴먼 ,,,
RPM|항공코드,음구쿠르 공항,음구쿠르 ,,,
GOV|항공코드,누휼런바이 공항  ,누휼런바이 ,고브,,
NLK|항공코드,노포크아일랜드 공항,노포크아일랜드 ,,,
NTN|항공코드,노먼턴 공항,노먼턴 ,,,
RBS|항공코드,오보스트 공항,오보스트 ,,,
PKM|항공코드,팜아일랜드 공항,팜아일랜드 ,,,
PBO|항공코드,파라버두 공항,파라버두 ,,,
PAL|항공코드,팰러필드 공항,팰러필드 ,,,
PKE|항공코드,파크스 공항,파크스 ,,,
PER|항공코드,퍼스 국제공항,퍼스 ,,,
PUG|항공코드,포트오거스타 공항,포트오거스타 ,,,
